""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"1"	38750	34753	34327	30283	30283
"2"	8034	6986	6872	6771	6771
"3"	12761	11290	11132	11006	11006
"4"	15095	11939	11659	11254	11254
"5"	6406	4480	4424	4375	4375
"6"	19004	16274	15879	15101	15101
"7"	11044	8582	8336	7973	7973
"8"	19278	17870	17618	17080	17080
"9"	18018	15889	15715	15582	15582
"10"	21180	18959	18842	18777	18777
"11"	11496	9613	9502	9421	9421
"12"	18653	16233	16059	15957	15957
"13"	12293	10103	10066	9994	9994
"14"	7155	6611	6477	6403	6403
"15"	23420	21317	20280	17929	17929
"16"	24426	20802	20200	18745	18745
"17"	22602	20497	19819	18248	18248
"18"	24294	22041	21782	21117	21117
"19"	16958	15115	14380	12774	12774
"20"	29062	25262	24760	22114	22114
"21"	25842	23957	23257	21666	21666
"22"	24479	21895	21217	19572	19572
"23"	14406	12746	12673	12457	12457
"24"	8486	7648	7572	7355	7355
"25"	13160	11558	11167	9952	9952
"26"	19827	18690	18604	18444	18444
"27"	18341	12203	11711	10498	10498
"28"	14234	11453	11032	10263	10263
"29"	23164	19304	18448	15798	15798
"30"	7583	5533	5447	5371	5371
"31"	18098	15549	15448	15372	15372
"32"	11690	10469	10354	10256	10256
"33"	7908	7783	7730	7642	7642
"34"	12127	8554	8466	8407	8407
"35"	16642	15173	14813	14126	14126
"36"	6602	3258	3204	3161	3161
"37"	22079	19266	18846	17688	17688
"38"	6731	2564	2489	2447	2447
"39"	4104	3206	3162	3113	3113
"40"	11623	10205	10131	10050	10050
"41"	17118	14175	14096	13998	13998
"42"	20230	13969	13913	13786	13786
"43"	8521	7251	7226	7182	7182
"44"	3841	1355	1288	1263	1263
"45"	9059	7728	7638	7560	7560
"46"	7192	5957	5902	5873	5873
"47"	3189	822	745	727	727
"48"	17146	11693	11576	11334	11334
"49"	9291	7466	7414	7359	7359
"50"	4457	3511	3483	3435	3435
"51"	8463	4255	4225	4188	4188
"52"	3125	2598	2588	2572	2572
"53"	12116	10987	10948	10872	10872
"54"	3306	1373	1322	1291	1291
"55"	3798	1973	1919	1913	1913
"56"	2630	468	451	448	448
"57"	4282	3223	3198	3161	3161
"58"	3700	1457	1424	1421	1421
"59"	4678	1246	1169	1164	1164
"60"	2612	1258	1197	1173	1173
"61"	14978	12762	12250	11124	11124
"62"	5910	5522	5514	5491	5491
"63"	5806	2793	2718	2697	2697
"64"	2289	1168	1080	1038	1038
"65"	3009	1281	1227	1211	1211
"66"	3350	916	873	849	849
"67"	8324	6426	6349	5870	5870
"68"	983	456	438	412	412
"69"	1080	215	184	169	169
"70"	1040	152	134	132	132
"71"	564	100	81	76	76
"72"	3248	753	703	698	698
"73"	7602	6359	6318	6290	6290
"74"	913	282	266	264	264
"75"	920	120	108	106	106
"76"	5095	2186	2094	2071	2071
"77"	5452	1477	1391	1374	1374
"78"	3409	1150	1113	1101	1101
"79"	1240	65	53	53	53
"80"	1280	178	167	164	164
"81"	2492	606	581	571	571
"82"	936	134	114	114	114
"83"	3499	2103	2057	2041	2041
"84"	2290	753	722	717	717
"85"	1522	348	337	317	317
"86"	5053	2623	2590	2535	2535
"87"	1016	104	95	95	95
"88"	4479	2466	2428	2364	2364
"89"	451	117	112	111	111
"90"	9139	5165	5042	4959	4959
"91"	562	63	51	51	51
"92"	10799	7664	7593	7473	7473
"93"	5650	2991	2944	2924	2924
"94"	7335	4489	4458	4355	4355
"95"	9566	6031	5874	5814	5814
"96"	10479	9982	9909	9877	9877
"97"	5308	2341	2283	2270	2270
"98"	9797	6348	6312	6241	6241
"99"	16624	12958	12840	12615	12615
"100"	2279	1597	1578	1573	1573
"101"	15803	14263	14176	14071	14071
"102"	4575	956	934	930	930
"103"	584	138	129	128	128
"104"	2401	522	498	480	480
"105"	4836	1732	1715	1644	1644
"106"	2069	1127	1066	1047	1047
"107"	3504	2535	2479	2429	2429
"108"	66	9	7	7	7
"109"	11460	8250	8122	8090	8090
"110"	5814	5528	5519	5482	5482
"111"	5043	3181	3078	3022	3022
"112"	3654	2168	2118	2075	2075
"113"	5827	3055	2993	2961	2961
"114"	7475	3156	3125	3096	3096
"115"	5490	3113	3055	3000	3000
"116"	1721	530	496	488	488
"117"	4941	4686	4667	4640	4640
"118"	634	196	184	166	166
"119"	2518	666	628	627	627
"120"	1799	560	531	524	524
"121"	141	50	46	46	46
"122"	5246	2166	2109	2078	2078
"123"	4231	1057	1020	1014	1014
"124"	3390	1291	1219	1192	1192
"125"	7732	3509	3471	3460	3460
"126"	8907	6088	6029	5945	5945
"127"	97	12	6	6	6
"128"	2647	1104	1076	1067	1067
"129"	3643	419	396	394	394
"130"	6931	2255	2210	2200	2200
"131"	1693	459	432	425	425
"132"	5017	4597	4537	4517	4517
"133"	2625	679	621	616	616
"134"	4405	995	946	905	905
"135"	1459	252	238	233	233
"136"	5126	2034	1982	1969	1969
"137"	4885	1897	1848	1804	1804
"138"	5220	2570	2528	2508	2508
"139"	15222	12375	12180	12043	12043
"140"	2242	709	660	643	643
"141"	4494	3072	3017	3006	3006
"142"	5880	3322	3272	3267	3267
"143"	3361	819	779	763	763
"144"	3947	2629	2600	2586	2586
"145"	1621	486	454	429	429
"146"	2545	852	820	788	788
"147"	3519	603	579	577	577
"148"	1622	250	232	230	230
"149"	10598	7748	7630	7445	7445
"150"	3365	929	909	885	885
"151"	2105	550	526	526	526
"152"	9588	7351	7048	6705	6705
"153"	16695	12353	11794	11099	11099
"154"	2154	856	740	694	694
"155"	10328	8545	8022	7241	7241
"156"	2046	945	886	871	871
"157"	20807	18776	17030	13357	13357
"158"	2823	1651	1544	1507	1507
"159"	4008	2428	2389	2384	2384
"160"	4185	3088	2908	2762	2762
"161"	27225	24344	24186	24001	24001
"162"	4972	2336	2291	2262	2262
"163"	6772	2857	2783	2759	2759
"164"	14070	5329	5271	5128	5128
"165"	2045	635	613	609	609
"166"	3695	2144	2075	2005	2005
"167"	3229	1138	1108	1099	1099
"168"	2829	2565	2522	2483	2483
"169"	3581	1759	1713	1675	1675
"170"	2298	940	848	831	831
"171"	8096	5975	5686	5414	5414
"172"	51621	6544	6397	5323	5323
"173"	10608	1259	1165	1096	1096
"174"	18092	2202	2061	1929	1929
"175"	20506	2252	2087	1825	1825
"176"	9006	834	804	760	760
"177"	25812	3018	2773	2415	2415
"178"	15541	1639	1487	1317	1317
"179"	25928	3398	3278	2934	2934
"180"	24673	2862	2707	2542	2542
"181"	28964	3566	3480	3466	3466
"182"	15756	1889	1781	1583	1583
"183"	25025	3004	2900	2811	2811
"184"	17390	2095	2005	1897	1897
"185"	8715	1210	1127	1100	1100
"186"	30995	4008	3455	2837	2837
"187"	31565	3939	3605	2639	2639
"188"	30481	3917	3592	3043	3043
"189"	33448	4196	3927	3496	3496
"190"	22689	2835	2549	1993	1993
"191"	39718	4719	4501	3377	3377
"192"	35149	4641	4328	3837	3837
"193"	33084	4213	3805	3056	3056
"194"	19906	2475	2336	1805	1805
"195"	11148	1391	1264	1094	1094
"196"	17610	2254	2044	1529	1529
"197"	27181	3592	3524	3408	3408
"198"	24500	2480	2203	1605	1605
"199"	18658	2141	1914	1616	1616
"200"	32601	3843	3358	2278	2278
"201"	11341	1080	978	931	931
"202"	24423	3169	3099	3000	3000
"203"	14881	1888	1763	1686	1686
"204"	8214	1287	1164	1121	1121
"205"	16594	1750	1646	1577	1577
"206"	22628	2863	2672	2294	2294
"207"	9331	680	608	559	559
"208"	31271	3936	3705	3245	3245
"209"	8808	506	442	438	438
